titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion
El molino del Floss,George Eliot,"Clásico, Costumbrista",N/A,"Inspirada en gran parte en los recuerdos de la infancia de la autora, El molino del Floss gira en torno al desigual destino de Tom y Maggie Tulliver, los hijos del molinero. A pesar de la inteligencia natural deMaggie, es Tom, por ser varón, quien recibe la educación y en quien el padre de ambos confía para hacer frente al futuro del molino. Cuando los niños se acercan a la juventud la desgracia económica cae sobrelos Tulliver, y los hermanos se ven obligados a enfrentarse a las dificultades. Maggie, alter ego de Eliot, es uno de los personajes más fascinantes de toda su producción, una mujer sensible y apasionadaencerrada en un ambiente vulgar, monótono y, con frecuencia, ruín. A pesar del patetismo progresivo de la novela, un fino humor, altamente crítico, está siempre presente. Considerada, después de Middlemarch (1871-1872), la mejor obra de Eliot, El molino del Floss refleja aligual que ésta, a través de los conflictos morales de sus personajes, la preocupación metafísica de la autora.",https://ww3.lectulandia.co/book/el-molino-del-floss/,Clásico,2026-09-06 12:16:04
Middlemarch,George Eliot,"Clásico, Costumbrista",N/A,"Yo por bien tengo que cosas tan señaladas, y por ventura nunca oídas ni vistas, vengan a noticia de muchos y no se entierren en la sepultura del olvido, pues podría ser que alguno que las lea halle algo que le agrade, y a los que no ahondaren tanto los deleite. Y a este propósito dice Plinio que no hay libro, por malo que sea, que no tenga alguna cosa buena; mayormente que los gustos no son todos unos, mas lo que uno no come, otro se pierde por ello.",https://ww3.lectulandia.co/book/middlemarch/,Clásico,2026-09-06 12:16:06
"Otelo, el moro de Venecia",William Shakespeare,"Clásico, Drama, Teatro",N/A,"La historia original del moro de Venecia, de Gianbattista Giraldi Cinthio (1565), sirvió a William Shakespeare para crear Otelo, la única de sus «grandes tragedias» basada en una obra de ficción. Contraviniendo la imagen isabelina del «moro», Shakespeare invierte los papeles de los protagonistas y otorga al moro Otelo el carácter de hombre noble y aristocrático, mientras que reserva para el italiano Yago la perversidad y la hipocresía, desarrollando en él uno de los estudios más profundos del mal. Otelo se presenta como la tragedia de la incomprensión, en la que luchan el amor puro, la pasión, el orgullo, los celos, la venganza..., y en la que al final, el protagonista, como un auténtico héroe trágico, consciente de su degradación y de su pérdida, escribe su propio epitafio, con la angustia del héroe destrozado. Si dijéramos que Otelo es la pasión, Yago la intriga, la envidia, y Desdémona la inocencia, el amor sencillo, diríamos verdad, pero omitiríamos lo que Shakespeare quiso transmitirnos: toda una filosofía del bien, del amor y del odio. Otelo es una terrible y estremecedora figura, cara y cruz de la vida. Otelo no es, simplistamente, una obra de teatro sobre la indefensa Desdémona que cae ante la crueldad de su esposo o sobre la traición de Yago. Es, en esencia, una obra sobre la fascinación: fascinación en el amor, fascinación y celos, fascinación y muerte. Los personajes centrales se ven atrapados en el aterrorizante círculo de sus propias acciones y quizás, de su propio deseo.",https://ww3.lectulandia.co/book/otelo-el-moro-de-venecia/,Clásico,2026-09-06 12:16:08
Hamlet,William Shakespeare,"Clásico, Drama, Teatro",N/A,"Obra en la que el genio de William Shakespeare brilla con especial fuerza. La tragedia de Hamlet traza el admirable retrato de un legendario príncipe de Dinamarca soñador y contemplativo, sumido en dudas e irresoluciones, que, obligado a esclarecer los motivos que llevaron a la muerte de su padre, sucumbe ante la fatalidad de las circunstancias. Poblada por una abundante y compleja galería de personajes secundarios, la obra ha gozado de una constante vigencia a lo largo del tiempo, que ha hecho que se incorporen al lenguaje común numerosas expresiones de la obra («ser o no ser», «palabras, palabras, palabras», «lo demás es silencio») que han llegado a hacerse emblemáticas. La ambigüedad, la ambivalencia y la desorientación del protagonista lo aproximan notablemente, por otro lado, a la sensibilidad de nuestra época.",https://ww3.lectulandia.co/book/hamlet/,Clásico,2026-09-06 12:16:11
La sombra del ciprés es alargada,Miguel Delibes,"Clásico, Drama",N/A,"Pedro, huérfano desde la infancia, va a parar a Ávila para su educación, al hogar sombrío de don Mateo Lesmes, que le inculcará la creencia de que para ser feliz hay que evitar toda relación con el mundo, toda emoción o afecto. Sólo la vitalidad de la juventud podrá hacerle superar este pesimismo inculcado. Sin embargo, los acontecimientos parecen obligarle a recordar lo aprendido... Con el estilo impecable que lo caracteriza, Delibes traza una obra inolvidable en que la muerte, que rodea constantemente al protagonista, es vencida al fin por la esperanza.",https://ww3.lectulandia.co/book/la-sombra-del-cipres-es-alargada/,Clásico,2026-09-06 12:16:13
La respuesta es no,Wilkie Collins,"Clásico, Drama, Intriga",N/A,"Con su habitual maestría Wilkie Collins vuelve a mantener en vilo la atención del lector de principio a fin en esta novela donde nada es lo que parece. La narración arranca presentándonos a la encantadora Emily, una muchacha huérfana cuyo padre murió cuatro años atrás de forma repentina mientras ella se hallaba lejos de su hogar. Emily acaba de terminar su formación en la escuela de la señora Ladd y está a punto de entrar a trabajar como secretaria para un anciano estudioso que investiga antiguos jeroglíficos. A partir de ahí se desencadenan los acontecimientos, en un vértigo que recuerda las mejores páginas de La dama de blanco y La piedra lunar. Emily comienza a percatarse de que todo el mundo parece ocultarle algo: su tía agonizante, la misteriosa profesora que la visita justo la última noche que pasará en el colegio y que luego desaparece repentinamente, la fiel criada de su tía, cuyo comportamiento resulta de lo más extraño… La existencia de un secreto planea sobre Emily, quien se verá poco a poco envuelta en un torbellino de misterios cada vez más inquietantes hasta llegar a una revelación fatal. Mirabel, secretamente enamorado de Emily, se mostrará dispuesto a hacer lo que sea con tal de ayudarla. Pero él también encierra un secreto, el más inquietante de todos…",https://ww3.lectulandia.co/book/la-respuesta-es-no/,Clásico,2026-09-06 12:16:16
La vida es sueño,Pedro Calderón de la Barca,"Clásico, Teatro",N/A,"Pocas obras maestras se muestran tan vigentes hoy día (un hoy especialmente predispuesto a la añoranza barroca) como La vida es sueño. Drama religioso o filosófico que, desde el absoluto seiscentista, urde sus raíces en los mitos orientales, la literalidad de su lección moral es capaz, sin embargo, de traducirse en lectura política (educación de príncipes) y en grito revolucionario. Pero, sobre todo, es pieza clave en la historia del conocimiento (mal que pese a la intransigencia de ciertas críticas unilaterales), del reconocimiento por parte del hombre de su conciencia de existir. Desde el mito de la caverna de Platón hasta la frontera de la modernidad que supone su proximidad en el tiempo y en las inquietudes a la filosofía cartesiana, La vida es sueño se constituye en modelo de la duda metódica resuelta no a través de la seguridad del pensar, sino por medio de una peripecia trágica que desemboca en el absoluto moral. Por medio de una magnífica parábola literaria y de la grandiosidad de una puesta en escena que vislumbramos en la fuerza suasoria del discurso, Calderón muestra cómo sobre el error no se puede levantar el edificio de la verdad. Y que la pasión, como todo lo humano, puede someterse a sistema.",https://ww3.lectulandia.co/book/la-vida-es-sueno/,Clásico,2026-09-06 12:16:18
El grillo del hogar (Ilustrado),Charles Dickens,"Clásico, Cuentos, Relato",N/A,"En esta ocasión, con una estructura casi teatral, Dickens construye un cuento fantástico en el que un grillo se transmuta en sucesivas hadas. La historia se desarrolla en tres días y está dividida en tres cantos. El grillo, símbolo de la paz en los hogares humildes, es el eje del relato: en el primer canto, el grillo está feliz; en el segundo, guarda silencio; en el tercero, vuelve a cantar de nuevo. Dickens ha escrito un poema en prosa sobre la vida del hogar y el cariño conyugal, un esbozo de la vida de las personas sencillas.",https://ww3.lectulandia.co/book/el-grillo-del-hogar-ilustrado/,Clásico,2026-09-06 12:16:21
El jardín de los cerezos,Antón Chéjov,"Clásico, Drama, Teatro",N/A,"El jardín de los cerezos es la última de las piezas principales de Chéjov (las otras son La gaviota, Tío Vania y Las tres hermanas). Se trata de una comedia escrita en cuatro actos, ambientada en el declive económico de la aristocracia rusa a finales del siglo XIX. Durante este periodo, los hijos de los que habían sido sus esclavos se enriquecían y tenía lugar una inversión de papeles que ponía en entredicho el modus vivendi de las clases adineradas tradicionales. El jardín de los cerezos es una obra de teatro que cuenta la historia de una familia de origen ruso que se ve en problemas financieros y económicos; sin embargo no se preocupa por mejorar o recuperar lo que está casi a punto de perder. Lubova Andreievna, terrateniente recién arruinada, vuelve a la casa familiar, al «Jardín de los Cerezos», el lugar donde vivió desde niña y del que ahora tendrá que desprenderse. Sobre la pérdida se construirán las nuevas vidas de aquellos cuyos destinos siempre estuvieron ligados al Jardín. Atrás quedan los recuerdos, los viejos empleos, los afectos… Un mundo de esperanzas y nuevas oportunidades surgirá de la desgracia, de la crisis. En la obra Chéjov mostró que las personas no viven grandes tragedias, ni discuten temas universales o tienen grandes romances, sino que los personajes transcurren por situaciones aparentemente vulgares, lo que esconde la trama de problemas que las personas (los personajes) en realidad viven. Antón Chéjov, poco antes de morir, escribe «El Jardín de los Cerezos» como reflejo de su época. Hoy, sin duda, es también reflejo de la nuestra. Las coincidencias son relevantes y nos invitan, como ciudadanos comprometidos con nuestro tiempo, a revisitarlas y reflexionar con ellas sobre el sentido de nuestro modelo vital.",https://ww3.lectulandia.co/book/el-jardin-de-los-cerezos/,Clásico,2026-09-06 12:16:23
Macbeth,William Shakespeare,"Clásico, Drama, Teatro",N/A,"Compuesta entre 1605 y 1606, Macbeth es sin duda una de las cumbres de la producción de William Shakespeare. Concebida en el ambiente medieval escocés, la obra logra anclarse perfectamente a la realidad que busca representar, y de ahí la presencia de brujas, profecías, desenfrenadas ambiciones, traiciones, asesinatos… en fin, la existencia de un mundo caótico dominado por una comprensión esotérica de la realidad, en la que las pasiones, movidas por irrefrenables deseos de poder y riqueza, aprisionan, empequeñeciendo, a los individuos, creándose las bestiales dictaduras del medievo. Asistimos a una tragedia sangrienta que, no obstante, no es un mero juego escénico sobre el asesinato, sino más bien la representación de la lucha del protagonista contra sí mismo. El ambicioso Macbeth combate contra sus brotes de ética, venciendo siempre el lado oscuro humano. Las brujas refuerzan el carácter tenebroso de toda la trama; Lady Macbeth es el impulso necesario para hacer caer a su dubitativo marido en el abismo; y todo parece apuntar a la intención de dejar al espectador con la certeza de que el mal es un hecho de permanencia inevitable. En los cinco actos de Macbeth asistimos al nacimiento de un tirano. Ávido de poder, nuestro héroe mata al rey para ocupar su lugar. Sin embargo, el miedo por la posibilidad de perder el ansiado trono, le lleva a realizar y ordenar otra serie de asesinatos con la esperanza de matar así sus propios temores. Sus actos, sin embargo solo sirven para aumentar su tormento. Se encuentra solo, lleno de desconfianza y remordimientos. Lo hermoso del poder ansiado se transforma en una inquietante vigilia que desgasta sus fuerzas y su mente.",https://ww3.lectulandia.co/book/macbeth/,Clásico,2026-09-06 12:16:26
A este lado del paraíso,Francis Scott Fitzgerald,Clásico,N/A,"La figura de Francis Scott Fitzgerald (1890-1940), el escritor más brillante de la llamada «generación perdida», parece extraída de sus propias novelas, que retrataron como ningunas otras la «época del jazz» y la profunda crisis de valores experimentada por la sociedad norteamericana a lo largo de los años veinte, que culminó con el crack económico de 1929. Ambientada en la Universidad de Princeton durante los años anteriores a la entrada de los Estados Unidos en la Gran Guerra, A este lado del paraíso (1920) novela que alcanzó desde su aparición un éxito fulgurante presenta ya las obsesiones, los caracteres y las situaciones que habrían de nutrir las narraciones posteriores de Fitzgerald: el hombre en busca de su propia personalidad, el mundo convencional y brillante de los ricos, la inexorable demolición de los valores ilusorios.",https://ww3.lectulandia.co/book/a-este-lado-del-paraiso/,Clásico,2026-09-06 12:16:28
La segunda casaca,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. LA SEGUNDA CASACA continúa las memorias del inefable Pipaón que articulan el episodio anterior, trazando con idéntico humor la trayectoria que llevó a tantos del más rabioso absolutismo a la militancia liberal y que desembocó en el éxito del levantamiento de Riego. Junto con los personajes de Salvador Monsalud, Jenara y Carlos Navarro, se retoma a su vez la peripecia novelesca que dio comienzo en «El equipaje del rey José», primer episodio de esta Segunda serie.",https://ww3.lectulandia.co/book/la-segunda-casaca/,Clásico,2026-09-06 12:16:31
Casa de muñecas,Henrik Ibsen,"Clásico, Drama",N/A,"La acción de Casa de muñecas tiene como protagonista a Nora, una mujer que simula estúpida frivolidad pero que en verdad es inteligente y aguda. Nora se vio forzada años atrás a recurrir a una artimaña financiera para costear un viaje en salvaguarda de la salud de Helmer, su marido, al tiempo que su padre se hallaba moribundo. A medida que la tensión del conflicto va in crescendo, la monotonía burguesa de la protagonista se va convirtiendo en un nudo corredizo que va dejándola sin aire. Ante su impotencia, observa la imposición de todo un mundo de valores contradictorios que amenazan su idea de felicidad. Casa de muñecas fue la primera obra dramática de Ibsen que causó sensación. En la actualidad es quizá su obra más famosa y su lectura es obligatoria en muchas escuelas y universidades. Cuando Casa de muñecas se publicó generó gran controversia, ya que critica fuertemente las normas matrimoniales del siglo XIX. Aunque Ibsen negó que su obra fuera feminista, es considerada por muchos críticos como la primera verdadera obra teatral feminista.",https://ww3.lectulandia.co/book/casa-de-munecas/,Clásico,2026-09-06 12:16:33
